NUTS_ID,COASTAL CATEGORY,COASTAL LABEL,,,COASTAL REGIONS,
ES521,1,coastal (on coast),,,,
ES522,1,coastal (on coast),,,,
ES523,1,coastal (on coast),,,,
ES531,1,coastal (on coast),,,,
ES532,1,coastal (on coast),,,,
ES533,1,coastal (on coast),,,,
ES611,1,coastal (on coast),,,,
ES612,1,coastal (on coast),,,,
ES613,0,non-coastal,,,,
ES614,1,coastal (on coast),,,,
ES615,1,coastal (on coast),,,,
ES616,0,non-coastal,,,,
ES617,1,coastal (on coast),,,,
ES618,0,non-coastal,,,,
ES620,1,coastal (on coast),,,,
ES630,1,coastal (on coast),,,,
ES640,1,coastal (on coast),,,,
ES703,1,coastal (on coast),,,,
ES704,1,coastal (on coast),,,,
ES705,1,coastal (on coast),,,,
ES706,1,coastal (on coast),,,,
ES707,1,coastal (on coast),,,,
ES708,1,coastal (on coast),,,,
ES709,1,coastal (on coast),,,,
FI193,0,non-coastal,,,,
FI194,0,non-coastal,,,,
FI195,1,coastal (on coast),,,,
FI196,1,coastal (on coast),,,,
FI197,0,non-coastal,,,,
FI1B1,1,coastal (on coast),,,,
FI1C1,1,coastal (on coast),,,,
FI1C2,0,non-coastal,,,,
FI1C3,0,non-coastal,,,,
FI1C4,1,coastal (on coast),,,,
FI1C5,0,non-coastal,,,,
FI1D1,0,non-coastal,,,,
FI1D2,0,non-coastal,,,,
FI1D3,0,non-coastal,,,,
FI1D5,1,coastal (on coast),,,,
FI1D7,1,coastal (on coast),,,,
FI1D8,0,non-coastal,,,,
FI1D9,1,coastal (on coast),,,,
FI200,1,coastal (on coast),,,,
FR101,0,non-coastal,,,,
FR102,0,non-coastal,,,,
FR103,0,non-coastal,,,,
FR104,0,non-coastal,,,,
FR105,0,non-coastal,,,,
FR106,0,non-coastal,,,,
FR107,0,non-coastal,,,,
FR108,0,non-coastal,,,,
FRB01,0,non-coastal,,,,
FRB02,0,non-coastal,,,,
FRB03,0,non-coastal,,,,
FRB04,0,non-coastal,,,,
FRB05,0,non-coastal,,,,
FRB06,0,non-coastal,,,,
FRC11,0,non-coastal,,,,
FRC12,0,non-coastal,,,,
FRC13,0,non-coastal,,,,
FRC14,0,non-coastal,,,,
FRC21,0,non-coastal,,,,
FRC22,0,non-coastal,,,,
FRC23,0,non-coastal,,,,
FRC24,0,non-coastal,,,,
FRD11,1,coastal (on coast),,,,
FRD12,1,coastal (on coast),,,,
FRD13,0,non-coastal,,,,
FRD21,1,coastal (on coast),,,,
FRD22,1,coastal (on coast),,,,
FRE11,1,coastal (on coast),,,,
FRE12,1,coastal (on coast),,,,
FRE21,0,non-coastal,,,,
FRE22,0,non-coastal,,,,
FRE23,1,coastal (on coast),,,,
FRF11,0,non-coastal,,,,
FRF12,0,non-coastal,,,,
FRF21,0,non-coastal,,,,
FRF22,0,non-coastal,,,,
FRF23,0,non-coastal,,,,
FRF24,0,non-coastal,,,,
FRF31,0,non-coastal,,,,
FRF32,0,non-coastal,,,,
FRF33,0,non-coastal,,,,
FRF34,0,non-coastal,,,,
FRG01,1,coastal (on coast),,,,
FRG02,0,non-coastal,,,,
FRG03,0,non-coastal,,,,
FRG04,0,non-coastal,,,,
FRG05,1,coastal (on coast),,,,
FRH01,1,coastal (on coast),,,,
FRH02,1,coastal (on coast),,,,
FRH03,1,coastal (on coast),,,,
FRH04,1,coastal (on coast),,,,
FRI11,0,non-coastal,,,,
FRI12,1,coastal (on coast),,,,
FRI13,1,coastal (on coast),,,,
FRI14,0,non-coastal,,,,
FRI15,1,coastal (on coast),,,,
FRI21,0,non-coastal,,,,
FRI22,0,non-coastal,,,,
FRI23,0,non-coastal,,,,
FRI31,0,non-coastal,,,,
FRI32,1,coastal (on coast),,,,
FRI33,0,non-coastal,,,,
FRI34,0,non-coastal,,,,
FRJ11,1,coastal (on coast),,,,
FRJ12,1,coastal (on coast),,,,
FRJ13,1,coastal (on coast),,,,
FRJ14,0,non-coastal,,,,
FRJ15,1,coastal (on coast),,,,
FRJ21,0,non-coastal,,,,
FRJ22,0,non-coastal,,,,
FRJ23,0,non-coastal,,,,
FRJ24,0,non-coastal,,,,
FRJ25,0,non-coastal,,,,
FRJ26,0,non-coastal,,,,
FRJ27,0,non-coastal,,,,
FRJ28,0,non-coastal,,,,
FRK11,0,non-coastal,,,,
FRK12,0,non-coastal,,,,
FRK13,0,non-coastal,,,,
