geo,NUTS_NAME,year,pop,gdp_capita,employment_rate,area_km2,pop_dens
DEA5,Arnsberg,2085,4951604.399931612,68164.3836278243,75.3,8014.714600316381,617.8141888840494
DEB1,Koblenz,2020,1498223.0,34800.0,78.3,8073.0900772975165,185.582346493715
DEB1,Koblenz,2055,1783974.4138731454,49297.77590988813,78.3,8073.0900772975165,220.97789034831808
DEB1,Koblenz,2085,2071908.0321554404,66445.95378846739,78.3,8073.0900772975165,256.6437401685744
DEB2,Trier,2020,533113.0,31400.0,78.9,4928.460456506854,108.17029064241588
DEB2,Trier,2055,634791.9847066519,44481.32653938182,78.9,4928.460456506854,128.80127380723138
DEB2,Trier,2085,737247.4636596043,59954.10772867459,78.9,4928.460456506854,149.58981007674421
DEB3,Rheinhessen-Pfalz,2020,2062567.0,37600.0,79.0,6850.663118215476,301.0755257422841
DEB3,Rheinhessen-Pfalz,2055,2455953.9900929914,53264.26362677568,79.0,6850.663118215476,358.49872453409165
DEB3,Rheinhessen-Pfalz,2085,2852345.1676811464,71792.17995535556,79.0,6850.663118215476,416.3604483917685
DEC0,Saarland,2020,986887.0,35700.0,77.1,2572.309597842388,383.65793947500913
DEC0,Saarland,2055,1175112.888658115,50572.71839031627,77.1,2572.309597842388,456.8318252374367
DEC0,Saarland,2085,1364776.2062989194,68164.3836278243,77.1,2572.309597842388,530.5645196999893
DED2,Dresden,2020,1596566.0,32600.0,82.4,7946.057285564055,200.92555875484945
DED2,Dresden,2055,1901074.0684529555,46181.24984661934,82.4,7946.057285564055,239.24746577232946
DED2,Dresden,2085,2207907.5806914475,62245.347514483816,82.4,7946.057285564055,277.8620265804839
DED4,Chemnitz,2020,1426380.0,29400.0,82.5,6525.355184873166,218.59039999946376
DED4,Chemnitz,2055,1698429.0218881816,41648.121027319285,82.5,6525.355184873166,260.28146725643626
DED4,Chemnitz,2085,1972555.6068127889,56135.37475232589,82.5,6525.355184873166,302.29091764774637
DED5,Leipzig,2020,1049025.0,34200.0,80.1,3977.838163710433,263.7173652689516
DED5,Leipzig,2055,1249102.2761720228,48447.81425626937,80.1,3977.838163710433,314.01535828367884
DED5,Leipzig,2085,1450707.4870909476,65300.33389556278,80.1,3977.838163710433,364.6974631410751
DEE0,Sachsen-Anhalt,2020,2194782.0,29500.0,79.4,20554.96714838457,106.77623487092215
DEE0,Sachsen-Anhalt,2055,2613385.945903467,41789.78130292241,79.4,20554.96714838457,127.14133411343617
