freq,c_resid,terrtypo,nace_r2,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,CST_A,I551-I553,NR,BG42	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH0	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH01	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH02	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH03	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH04	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH05	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH06	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CH07	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CY	1088446 	895939 	830943 	664707 	667831 	655139 	720612 	802754 	899958 	1351988 	1089810 	977032 	1086225 
A,DOM,CST_A,I551-I553,NR,CY0	1088446 	895939 	830943 	664707 	667831 	655139 	720612 	802754 	899958 	1351988 	1089810 	977032 	1086225 
A,DOM,CST_A,I551-I553,NR,CY00	1088446 	895939 	830943 	664707 	667831 	655139 	720612 	802754 	899958 	1351988 	1089810 	977032 	1086225 
A,DOM,CST_A,I551-I553,NR,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ01	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ02	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ03	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ04	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ05	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ06	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ07	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,CZ08	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE	55922370 	56740707 	58700556 	60974607 	64061387 	65616484 	71778600 	77268919 	57846302 	60296975 	75250410 	75596431 	78442346 
A,DOM,CST_A,I551-I553,NR,DE1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE11	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE12	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE13	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE14	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE2	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE21	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE22	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE23	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE24	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE25	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE26	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE27	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE30	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE4	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE40	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE5	1514896 	1586669 	1712552 	1771444 	1815004 	1864884 	1979394 	2192296 	253654 	291881 	361252 	400231 	2274580 
A,DOM,CST_A,I551-I553,NR,DE50	1514896 	1586669 	1712552 	1771444 	1815004 	1864884 	1979394 	2192296 	253654 	291881 	361252 	400231 	2274580 
A,DOM,CST_A,I551-I553,NR,DE6	8243203 	8940981 	9072194 	9531016 	10051005 	10341975 	10885592 	11579933 	5689766 	6272698 	11600343 	12365659 	12299668 
A,DOM,CST_A,I551-I553,NR,DE60	8243203 	8940981 	9072194 	9531016 	10051005 	10341975 	10885592 	11579933 	5689766 	6272698 	11600343 	12365659 	12299668 
A,DOM,CST_A,I551-I553,NR,DE7	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE71	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE72	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE73	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE8	18529516 	18633288 	18941445 	19870880 	20769978 	20204238 	20956491 	23902971 	19679973 	18636413 	22684314 	22511120 	23132754 
A,DOM,CST_A,I551-I553,NR,DE80	18529516 	18633288 	18941445 	19870880 	20769978 	20204238 	20956491 	23902971 	19679973 	18636413 	22684314 	22511120 	23132754 
A,DOM,CST_A,I551-I553,NR,DE9	10933553 	10877906 	11107333 	11359138 	11943813 	12192392 	12665051 	12940523 	8998561 	9384430 	11507372 	11432534 	11874762 
A,DOM,CST_A,I551-I553,NR,DE91	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,DE92	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
