actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
1834012.0,3651399.0,3820773.3692544727,-1817387.0,-1986761.3692544727
4279306.0,2735758.5,2995202.073110212,1543547.5,1284103.926889788
6888592.0,2735758.5,2995202.073110212,4152833.5,3893389.926889788
6888592.0,3331651.0,3566235.4820426223,3556941.0,3322356.5179573777
0.0,3718579.5,3983052.344743128,-3718579.5,-3983052.344743128
808236.0,3556172.75,3770894.992543523,-2747936.75,-2962658.992543523
1935835.0,3456250.5,3772348.303787032,-1520415.5,-1836513.3037870321
4535858.0,3324875.75,3574188.195462514,1210982.25,961669.8045374858
7279929.0,3556172.75,3740814.068942919,3723756.25,3539114.931057081
7279929.0,2884021.5,3104930.59490381,4395907.5,4174998.40509619
0.0,3896861.75,4000140.7849303633,-3896861.75,-4000140.7849303633
891669.0,3839456.5,3949851.6136207953,-2947787.5,-3058182.6136207953
2030811.0,3896861.75,4000140.7849303633,-1866050.75,-1969329.7849303633
4664295.0,2949518.0,3170231.81087662,1714777.0,1494063.18912338
7586775.0,2949518.0,3386332.921438636,4637257.0,4200442.078561364
7586775.0,3614032.25,3752371.4401944815,3972742.75,3834403.5598055185
0.0,3028037.5,3269898.6336534093,-3028037.5,-3269898.6336534093
390926.0,3456250.5,3775185.1584182815,-3065324.5,-3384259.1584182815
1284152.0,2995114.75,3295825.470917333,-1710962.75,-2011673.470917333
3050815.0,3028037.5,3305762.7820224534,22777.5,-254947.78202245338
4725893.0,2995114.75,3404798.483844292,1730778.25,1321094.516155708
4725893.0,3456250.5,3687998.894706007,1269642.5,1037894.1052939929
0.0,16445729.0,13680015.1845926,-16445729.0,-13680015.1845926
2447998.0,16445729.0,14434491.153713658,-13997731.0,-11986493.153713658
3786775.0,16445729.0,13680015.1845926,-12658954.0,-9893240.1845926
14486780.0,16445729.0,14434491.153713658,-1958949.0,52288.84628634155
20721553.0,8411853.0,7227163.468845593,12309700.0,13494389.531154407
20721553.0,7708576.0,6945766.946190301,13012977.0,13775786.053809699
0.0,8847401.0,8219115.188981286,-8847401.0,-8219115.188981286
2508630.0,10614789.0,9434617.364913573,-8106159.0,-6925987.3649135735
3788980.0,10530491.0,9362364.484227406,-6741511.0,-5573384.484227406
14841536.0,8847401.0,7573167.806391823,5994135.0,7268368.193608177
21139146.0,10530491.0,9727095.968822068,10608655.0,11412050.031177932
21139146.0,8847401.0,8024492.732640387,12291745.0,13114653.267359614
0.0,11711546.0,9882502.24647953,-11711546.0,-9882502.24647953
2589018.0,10945030.0,9865255.694298333,-8356012.0,-7276237.694298333
3771166.0,7552575.5,6541995.133018207,-3781409.5,-2770829.133018207
14644211.0,11711546.0,10788662.901954787,2932665.0,3855548.098045213
21004395.0,7552575.5,6893337.176211309,13451819.5,14111057.823788691
21004395.0,7552575.5,6541995.133018207,13451819.5,14462399.866981793
0.0,12402744.0,11011756.897376712,-12402744.0,-11011756.897376712
2666668.0,12656687.0,10664109.15043712,-9990019.0,-7997441.15043712
3874518.0,12656687.0,11203522.802435242,-8782169.0,-7329004.802435242
15044880.0,10427984.0,9293273.307264455,4616896.0,5751606.692735545
21586066.0,8441589.0,7679931.705769069,13144477.0,13906134.29423093
21586066.0,9763728.0,9051983.307000583,11822338.0,12534082.692999417
0.0,12115418.0,11168747.369503444,-12115418.0,-11168747.369503444
2782058.0,11654733.0,10503887.741009487,-8872675.0,-7721829.741009487
4001809.0,11391393.0,10273191.935788507,-7389584.0,-6271382.935788507
15870077.0,12115418.0,10780100.546012018,3754659.0,5089976.453987982
22653944.0,9786081.0,8383747.910744633,12867863.0,14270196.089255366
22653944.0,11391393.0,9673143.003911275,11262551.0,12980800.996088725
0.0,13031570.0,11549569.90512935,-13031570.0,-11549569.90512935
2995205.0,9612675.0,8619191.811775535,-6617470.0,-5623986.811775535
4134227.0,9612675.0,8260178.4328938285,-5478448.0,-4125951.4328938285
16212434.0,13031570.0,11549569.90512935,3180864.0,4662864.094870649
23341866.0,9612675.0,8659475.717523634,13729191.0,14682390.282476366
23341866.0,9612675.0,8659475.717523634,13729191.0,14682390.282476366
0.0,13259180.0,11758451.32864887,-13259180.0,-11758451.32864887
3082445.0,13475333.0,11955965.660788722,-10392888.0,-8873520.660788722
4229516.0,9667271.0,8717394.995774038,-5437755.0,-4487878.995774038
16959849.0,10829762.0,9706036.790719494,6130087.0,7253812.209280506
24271810.0,9667271.0,8717394.995774038,14604539.0,15554415.004225962
24271810.0,9667271.0,8327211.83219643,14604539.0,15944598.16780357
0.0,10140085.0,8729792.038100556,-10140085.0,-8729792.038100556
3242627.0,13735180.0,11617391.366123974,-10492553.0,-8374764.366123974
4260796.0,10370910.0,9628870.4570364,-6110114.0,-5368074.4570364
17262415.0,10370910.0,9400245.604588402,6891505.0,7862169.395411598
24765838.0,10370910.0,8915191.89954817,14394928.0,15850646.10045183
24765838.0,10140085.0,9198034.169788778,14625753.0,15567803.830211222
